amount,hour,distance_km,failed_logins_24h,is_international,is_new_device,account_age_days,txn_velocity_1h,prev_chargebacks,merchant_risk_score,is_fraud
33.006818225246434,15,5.500706011405622,1,0,0,1968,1,0,0.14132678256027573,0
17.49186120639589,2,45.40485916954932,0,0,0,883,2,1,0.24908391718276307,0
38.385836027526814,5,1.8890327875532282,0,0,0,257,0,0,0.17530298637576944,0
92.1142686059858,19,7.925387636960629,0,0,0,3025,3,0,0.06036832699035254,0
15.892489279689727,3,45.70471925006747,0,0,0,1651,1,0,0.2746302678965897,1
15.892750201131355,4,30.076106721929325,0,0,0,2076,4,0,0.12550369788547958,0
97.4376625930587,20,31.24356352043686,0,0,1,1202,1,0,0.23435701755304508,0
43.268925831953524,6,33.020388627246035,0,0,0,2854,2,0,0.140881775368435,0
12.560106170442673,6,48.431325038073794,0,0,0,2047,0,0,0.1385932025572458,0
34.55526904774969,16,53.538084744100594,1,0,0,677,0,0,0.48686571089941366,0
12.63640971943631,5,39.743182968902104,0,0,0,932,0,0,0.2131144094257006,0
12.607227321143387,3,30.69657762401735,0,0,0,368,1,0,0.061878430102497245,0
25.58387503460316,1,23.048414943428487,1,0,1,212,1,0,0.17325073121759804,0
2.964533710045631,5,55.481920021030064,0,0,0,2464,1,0,0.355849308368941,0
3.578995475084178,6,10.595802914841364,0,0,0,985,1,0,0.15039168988332324,0
11.446825821743476,1,39.75684025156489,0,0,0,2726,3,0,0.32943403877946936,0
7.294851896158015,17,32.709492034541256,1,0,0,1469,3,0,0.19257076861783945,0
27.501686569591953,9,22.53916092110523,0,1,0,2779,2,0,0.12614849032408673,0
8.100906139363907,6,41.83199981010767,1,0,0,1711,1,0,0.08671687981111159,0
4.892465157581653,8,13.384995899871146,0,0,1,1446,0,0,0.04012253631773936,0
86.97743949888283,18,37.940903434195604,0,0,0,1303,2,0,0.14898206228740002,0
16.02618103324395,18,34.797804043442866,0,0,0,922,2,0,0.05206063452212091,0
21.488721254826878,23,3.5894408199042402,0,1,0,3254,3,0,0.05980940455182895,0
4.831958218620909,1,26.143063643265315,0,0,0,511,0,0,0.08885868374117223,0
11.653624825949425,22,36.61335285971849,1,0,0,1,4,0,0.2498223856919822,0
22.441739370610133,23,29.410176955099754,0,0,0,1798,2,0,0.08158352020143171,0
6.35350368766933,11,66.547525105389,0,0,0,2304,1,0,0.0795417263440558,0
29.24468998857837,18,49.6434235575274,0,0,1,2145,1,0,0.19574322943512534,0
11.016138236849075,5,33.19212186675916,1,0,1,249,0,0,0.2702301584862727,0
15.003841228318247,23,3.689601300725771,0,0,0,496,0,0,0.13256967137818837,0
11.004380136535671,0,46.75038720259799,1,0,0,329,0,0,0.09922470995052077,0
128.03173776949376,14,25.603991343805852,1,0,0,2153,1,1,0.21279429156824786,0
19.816259255910275,21,8.021755160930091,1,0,0,2605,0,0,0.0874717357992005,0
6.974698291298778,18,1.0860945292289195,0,1,0,437,3,0,0.142967197994199,0
45.7204148275151,13,35.50126842682248,2,0,0,2821,2,0,0.24949525101889988,0
5.924855805075756,23,14.443190471389688,1,0,0,607,1,0,0.3435829426136668,0
24.750943141223434,12,14.9541772914498,0,0,0,2049,0,0,0.0800741553538559,0
2.8301504594356834,4,8.361124351329298,0,0,0,1191,1,0,0.43362540216418827,0
5.321812554723262,1,24.768228309851587,0,0,0,2408,2,0,0.25180115717418733,0
24.45564909023567,14,25.656978878893078,1,0,0,415,3,0,0.26574791842675055,1
42.033485733557185,15,1.196713356488516,0,0,0,1039,1,0,0.10601728559104746,0
23.840081985729842,6,16.744464920463084,0,0,0,2863,0,0,0.0737502279754327,0
17.891964789315043,21,6.670024629039915,0,0,0,3192,0,0,0.12337402427003356,0
14.863318090092628,5,28.164816071427673,0,0,0,2919,0,0,0.4130595947040968,0
4.57898798452568,16,31.75480107335236,2,0,0,117,0,0,0.10028140766703568,1
9.77820365291551,0,37.20150318479712,0,0,0,1550,2,0,0.23214308284981336,0
12.67157415151988,5,21.771029100004245,0,0,0,3071,0,0,0.2902933011214305,0
57.80771395595007,5,10.40016551107935,0,0,0,1067,1,0,0.03869631918206529,0
28.321416622870096,3,50.434458308301366,1,0,0,776,0,0,0.20465615061893147,0
3.445123816116287,7,28.133417115907665,0,0,0,331,0,0,0.03066847014197317,0
27.773545568796088,8,24.20285127067263,0,0,0,1260,0,0,0.3056278043019497,0
13.666091879903039,21,42.20520957482705,0,0,0,3362,1,0,0.3236040475431082,0
10.207043280555006,9,38.97791891191374,2,0,1,2646,1,0,0.14145437412660125,0
37.02807056195345,23,30.160172711905588,0,0,0,696,1,0,0.07110470141128539,0
56.317173406525,7,7.86209246750314,0,0,0,749,0,0,0.28261519922642275,0
50.972186393025815,1,9.802617426549867,1,0,0,916,0,1,0.19653107867059774,0
8.677925277545338,19,42.27852536629174,0,0,1,3310,0,0,0.4530929597736047,0
14.743283514760323,16,19.60967479461263,0,0,0,715,1,0,0.18291082616613363,0
27.973662189315135,0,27.619603124549734,0,0,0,2742,1,0,0.27309866867664234,0
53.279152902165286,13,8.29327436375321,1,0,0,740,1,0,0.09115742658314846,0
12.438863966930324,21,52.08761314784546,1,0,1,2541,1,0,0.3589310938772007,0
16.682178990758878,22,53.80940398149278,0,0,0,3430,3,1,0.3568444182580735,0
6.643673350740028,4,56.58552209467703,1,0,1,2039,1,0,0.501375948375016,0
6.072639632823009,23,34.72145394482999,0,0,1,1194,1,0,0.04754291807405448,0
45.264625002157786,8,14.96471720722195,1,0,0,2448,3,0,0.20901783164999835,1
77.96344231649218,19,10.374773592707808,0,0,0,3561,2,0,0.27854911237841284,0
18.69002349245128,16,10.001479909996025,0,0,0,3167,1,0,0.3979897776005061,0
54.79138085370201,5,0.28558211148449253,0,0,0,113,0,0,0.2405090388032569,0
28.836329265898744,0,14.539804702609011,0,0,0,2213,0,0,0.46389356900517065,0
10.536866947796401,17,6.162114691700481,0,0,0,3385,1,0,0.3484055185845953,0
28.829397282229387,10,4.400120595692362,1,0,0,917,0,0,0.11642757591819689,0
93.50702493490813,3,30.607648368683023,0,0,0,797,0,0,0.33525548471253336,1
19.37868907314326,19,32.65043191268141,0,0,0,510,0,0,0.443254585330254,0
96.02836876800566,5,12.441858250637223,0,0,0,2981,1,0,0.1361945344365025,0
1.46265736730346,7,45.19505070923664,0,0,0,1772,2,0,0.0632892274747955,0
45.69105311181044,18,4.633640277583184,0,0,0,3502,0,0,0.16175782526506216,0
21.912276887859672,14,16.136764827687458,1,0,0,2230,1,0,0.19867587974672019,0
14.894509416958691,21,15.155293016657875,1,0,0,658,1,0,0.37532879087442594,0
22.01580878712744,18,68.6797179860396,0,0,0,1468,2,0,0.3124585275437876,0
2.752283925628072,1,9.27523038431412,0,0,0,1753,0,0,0.05854918546610249,0
16.124310662610384,3,1.13608944529199,0,0,0,2278,1,0,0.244113578320033,0
28.70618404516357,3,1.0743989614798792,0,0,0,3628,2,0,0.21690944565896483,0
88.04904992795421,11,28.817016630271326,0,0,0,2854,1,0,0.09406086075523606,0
11.961938074130188,17,42.805712780606534,0,0,0,3042,1,0,0.2828550277288849,0
8.948683237012887,11,6.9560685854251965,1,1,0,1041,0,0,0.19136422110752532,0
12.16110758174814,18,80.23686101539445,0,0,0,1155,1,0,0.05464359290336773,0
50.169241395495995,14,15.089685012666974,0,0,0,111,1,0,0.3304024256862673,0
27.903471557185508,9,3.7965480558732807,0,0,1,2806,0,0,0.20421808364051486,0
11.82528216980149,6,9.355163124100219,0,0,1,1257,0,0,0.32602988517616627,0
33.55773650515712,1,22.46976312229957,0,0,0,1168,2,0,0.06593273681828335,0
22.133173565190575,12,12.422351769321939,0,0,0,1356,2,0,0.11912714050311496,0
52.91278491795699,15,17.898924522705162,0,0,0,3154,0,0,0.15184592530312957,0
9.953725529065474,20,43.13105507405944,0,0,0,36,2,1,0.3790239556218788,0
14.473767215926316,7,35.23756302350509,0,1,0,2165,4,0,0.14735751861415997,0
13.570412168155212,0,38.76468690566111,0,0,0,30,0,0,0.20082457610846682,0
4.64822325957712,16,11.586205927140117,0,0,1,1878,3,0,0.10876829444224716,0
27.007653183073803,14,5.073243733230554,0,0,0,3134,0,1,0.13231313228123634,0
26.07704100384132,21,6.257086841730516,1,0,0,1606,0,0,0.3798590653467197,0
20.188506486217193,22,28.430411580282115,1,0,0,777,2,0,0.10759963938842776,0
15.885597269808367,13,16.64373530161031,0,0,1,1346,3,0,0.2048457248550496,0
